Game_ID,Xbox_NA_Sales,Xbox_EU_Sales,Xbox_JP_Sales,Xbox_RoW_Sales,Xbox_Global_Sales
156,0.09,0.15,0,0.02,0.25
157,0.14,0.09,0,0.02,0.25
158,0.12,0.1,0,0.02,0.25
159,0.16,0.06,0,0.02,0.24
160,0.13,0.09,0,0.02,0.24
161,0.13,0.09,0,0.02,0.24
162,0.17,0.05,0,0.02,0.24
163,0.19,0.02,0,0.02,0.24
164,0.14,0.07,0,0.02,0.23
165,0.11,0.1,0,0.02,0.23
166,0.18,0.02,0,0.02,0.22
167,0.09,0.12,0,0.02,0.22
168,0.17,0.03,0,0.02,0.22
169,0.12,0.08,0,0.02,0.22
170,0.14,0.06,0,0.02,0.22
171,0.1,0.1,0,0.02,0.22
172,0.12,0.08,0,0.02,0.21
173,0.15,0.04,0,0.02,0.21
174,0.1,0.09,0,0.02,0.21
175,0.18,0,0,0.02,0.21
176,0.18,0,0,0.02,0.21
177,0.1,0.09,0,0.02,0.2
178,0.01,0.18,0,0.01,0.2
179,0.12,0.06,0,0.02,0.2
180,0.13,0.05,0,0.02,0.19
181,0.11,0.07,0,0.02,0.19
182,0.11,0.06,0,0.02,0.19
183,0.17,0,0,0.02,0.19
184,0.15,0.02,0,0.02,0.19
185,0.04,0.13,0,0.01,0.19
186,0.13,0.03,0,0.02,0.18
187,0.11,0.05,0,0.02,0.18
188,0.08,0.07,0,0.01,0.17
189,0.15,0,0,0.02,0.16
190,0.11,0.04,0,0.02,0.16
191,0.12,0.03,0,0.02,0.16
192,0.07,0.07,0,0.01,0.15
193,0.04,0.1,0,0.01,0.15
194,0.1,0.03,0,0.01,0.15
195,0.05,0.08,0,0.01,0.15
196,0.1,0.04,0,0.01,0.15
197,0.11,0.02,0,0.01,0.15
198,0.09,0.04,0,0.01,0.15
199,0.06,0.07,0,0.01,0.15
200,0.11,0.02,0,0.01,0.14
201,0.11,0.02,0,0.01,0.14
202,0.08,0.05,0,0.01,0.14
203,0.1,0.02,0,0.01,0.14
204,0.07,0.06,0,0.01,0.14
205,0.12,0,0,0.01,0.14
206,0.09,0.03,0,0.01,0.14
207,0.1,0.02,0,0.01,0.13
208,0.12,0,0,0.01,0.13
209,0.12,0,0,0.01,0.13
210,0.11,0.01,0,0.01,0.13
211,0.1,0.02,0,0.01,0.13
212,0.09,0.03,0,0.01,0.13
213,0.08,0.03,0,0.01,0.12
214,0.11,0,0,0.01,0.12
215,0.07,0.04,0,0.01,0.12
216,0.1,0.01,0,0.01,0.12
217,0.11,0,0,0.01,0.12
218,0.08,0.03,0,0.01,0.12
219,0.11,0,0,0.01,0.12
220,0.07,0.04,0,0.01,0.12
221,0.11,0,0,0.01,0.12
222,0.05,0.06,0,0.01,0.12
223,0.06,0.05,0,0.01,0.12
224,0.09,0.02,0,0.01,0.12
225,0.05,0.05,0,0.01,0.12
226,0.1,0,0,0.01,0.11
227,0.05,0.05,0,0.01,0.11
228,0.07,0.03,0,0.01,0.11
229,0.1,0,0,0.01,0.11
230,0.07,0.02,0,0.01,0.1
231,0.09,0,0,0.01,0.1
232,0.05,0.04,0,0.01,0.1
233,0.06,0.03,0,0.01,0.1
234,0.05,0.03,0.01,0.01,0.1
235,0.05,0.03,0,0.01,0.1
236,0.07,0.02,0,0.01,0.1
237,0.09,0,0,0.01,0.1
238,0.05,0.04,0,0.01,0.1
239,0.08,0,0,0.01,0.1
240,0.07,0.01,0,0.01,0.09
241,0.08,0,0,0.01,0.09
242,0.06,0.02,0,0.01,0.09
243,0.08,0,0,0.01,0.09
244,0.03,0.05,0,0.01,0.09
245,0.06,0.02,0,0.01,0.09
246,0.06,0.02,0,0.01,0.08
247,0.08,0,0,0.01,0.08
248,0.08,0,0,0.01,0.08
249,0.05,0.03,0,0.01,0.08
250,0.06,0.01,0,0.01,0.08
251,0.07,0,0,0.01,0.08
252,0.06,0.01,0,0.01,0.08
253,0.02,0.05,0,0.01,0.08
254,0.05,0.03,0,0.01,0.08
255,0.03,0.04,0,0.01,0.08
256,0.07,0,0,0.01,0.08
257,0.06,0.01,0,0.01,0.08
258,0.05,0.01,0,0.01,0.08
259,0.07,0,0,0.01,0.07
260,0.06,0.01,0,0.01,0.07
261,0.07,0,0,0.01,0.07
262,0.05,0.01,0,0.01,0.07
263,0.05,0.02,0,0.01,0.07
264,0.04,0.02,0,0.01,0.07
265,0.06,0,0,0.01,0.07
266,0.06,0,0,0.01,0.07
267,0.06,0,0,0.01,0.07
268,0.06,0,0,0.01,0.06
269,0.04,0.02,0,0.01,0.06
270,0.06,0,0,0.01,0.06
271,0.04,0.02,0,0.01,0.06
272,0.05,0.01,0,0.01,0.06
273,0.05,0,0,0.01,0.06
274,0.05,0.01,0,0.01,0.06
275,0.05,0,0,0.01,0.06
276,0.05,0,0,0.01,0.06
277,0.05,0,0,0.01,0.06
278,0.05,0,0,0.01,0.06
279,0.05,0,0,0.01,0.06
280,0.05,0,0,0.01,0.06
281,0.05,0,0,0.01,0.06
282,0.05,0,0,0.01,0.06
283,0.05,0,0,0.01,0.06
284,0.05,0,0,0.01,0.06
285,0.05,0,0,0.01,0.06
286,0.05,0,0,0.01,0.06
287,0.05,0,0,0.01,0.06
288,0.05,0,0,0.01,0.05
289,0.05,0,0,0.01,0.05
290,0.04,0,0,0.01,0.05
291,0.04,0.01,0,0.01,0.05
292,0.05,0,0,0.01,0.05
293,0.04,0,0,0.01,0.05
294,0.04,0,0,0.01,0.05
295,0.04,0,0,0.01,0.05
296,0.04,0,0,0.01,0.05
297,0.04,0,0,0.01,0.05
298,0.03,0.02,0,0,0.05
299,0.04,0,0,0.01,0.05
300,0.04,0,0,0.01,0.05
301,0.04,0,0,0.01,0.05
302,0.04,0,0,0.01,0.05
303,0.04,0,0,0.01,0.05
304,0.04,0,0,0.01,0.05
305,0.04,0,0,0.01,0.05
306,0.04,0,0,0.01,0.05
307,0.04,0,0,0,0.04
308,0.04,0,0,0,0.04
309,0.04,0,0,0,0.04
310,0.04,0,0,0,0.04
311,0.04,0,0,0,0.04
312,0.04,0,0,0,0.04
313,0.04,0,0,0,0.04
314,0.04,0,0,0,0.04
315,0,0.04,0,0,0.04
316,0.04,0,0,0,0.04
317,0.04,0,0,0,0.04
318,0.04,0,0,0,0.04
319,0.03,0,0,0,0.04
320,0,0.04,0,0,0.04
321,0.03,0,0,0,0.04
322,0,0.04,0,0,0.04
323,0.03,0,0,0,0.04
324,0.01,0.03,0,0,0.04
325,0.03,0,0,0,0.04
326,0.03,0,0,0,0.04
327,0.03,0,0,0,0.03
328,0.03,0,0,0,0.03
329,0.03,0,0,0,0.03
330,0,0.03,0,0,0.03
331,0.03,0,0,0,0.03
332,0.02,0.01,0,0,0.03
333,0.03,0,0,0,0.03
334,0.03,0,0,0,0.03
335,0.02,0,0,0,0.03
336,0.02,0,0,0,0.03
337,0.02,0,0,0,0.03
338,0.02,0,0,0,0.03
339,0.02,0,0,0,0.02
340,0.02,0,0,0,0.02
341,0.02,0,0,0,0.02
342,0,0.02,0,0,0.02
343,0.02,0,0,0,0.02
344,0.02,0,0,0,0.02
345,0.02,0,0,0,0.02
346,0.02,0,0,0,0.02
347,0,0.02,0,0,0.02
348,0,0.02,0,0,0.02
349,0,0.02,0,0,0.02
350,0.02,0,0,0,0.02
351,0.02,0,0,0,0.02
352,0.02,0,0,0,0.02
353,0.02,0,0,0,0.02
354,0.02,0,0,0,0.02
355,0.02,0,0,0,0.02
356,0.02,0,0,0,0.02
357,0.02,0,0,0,0.02
358,0,0.02,0,0,0.02
359,0,0.02,0,0,0.02
360,0.02,0,0,0,0.02
361,0.02,0,0,0,0.02
362,0.02,0,0,0,0.02
363,0.02,0,0,0,0.02
364,0.01,0,0,0,0.02
365,0.01,0,0,0,0.02
366,0,0.01,0,0,0.02
367,0,0.01,0,0,0.02
368,0.01,0,0,0,0.02
369,0,0.01,0,0,0.02
370,0.01,0,0,0,0.01
371,0.01,0,0,0,0.01
372,0.01,0,0,0,0.01
373,0,0.01,0,0,0.01
374,0,0.01,0,0,0.01
375,0,0.01,0,0,0.01
376,0,0.01,0,0,0.01
377,0,0.01,0,0,0.01
378,0,0.01,0,0,0.01
380,0.01,0,0,0,0.01
381,0.01,0,0,0,0.01
382,0,0.01,0,0,0.01
383,0,0,0,0,0.01
384,0,0,0,0,0.01
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
405,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
415,0,0,0,0,0
419,0,0,0,0,0
